valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
2,12,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,16,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,32,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,12,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,16,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,32,1,3,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,12,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,16,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,32,1,4,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,32,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,12,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,32,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,12,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,32,2,3,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,12,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,32,2,4,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,3,1,0.147105551221373,367.9951385511,188.829786323427,6.1686,4.375,10.5436
2,32,3,1,0.0674834105906579,351.357664031047,187.319642288232,6.192,4.375,10.567
2,4.93,3,2,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,3,2,NaN,NaN,NaN,NaN,NaN,NaN
2,12,3,2,NaN,NaN,NaN,NaN,NaN,NaN
2,16,3,2,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,3,2,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,3,2,0.065668304976662,511.79165816924,229.567313171546,6.1686,8.75,14.9186
2,32,3,2,0.0322768946194663,669.971131863946,296.965449111159,6.192,8.75,14.942
2,4.93,3,3,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,3,3,NaN,NaN,NaN,NaN,NaN,NaN
2,12,3,3,NaN,NaN,NaN,NaN,NaN,NaN
2,16,3,3,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,3,3,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,3,3,0.0409033438627273,798.58973242473,292.420476290107,6.1686,13.125,19.2936
2,32,3,3,0.029867321826884,828.643295154211,376.00737667909,6.192,13.125,19.317
2,4.93,3,4,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,3,4,NaN,NaN,NaN,NaN,NaN,NaN
