valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.9,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,45.6,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,4.93,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,28.1,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,45.6,1,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,4.93,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,28.1,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,45.6,1,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,4.93,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,28.1,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,45.6,1,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,4.93,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
